id,name,desc
11,낡은 검,"오래전, 창고 구석에서 거미줄과 함께 발견된 칼. 어머니가 4767년 전에 쓰셨다고 전해진다.
닳고 휘었지만, 버리기엔 또 정이 간다."
12,평범한 검,"마을 대장장이가 “이 정도면 몬스터 한두 마리는 거뜬”이라며 건네준 표준형 검.
특별할 건 없지만, 믿고 휘두를 만큼 견고하다."
13,단련된 검,"수백 번 담금질로 결이 살아난 강철. 주인의 손에 익자, 칼끝이 먼저 길을 기억한다.
제대로 벼렸을 때 나는 그 맑은 소리, 승리의 예고편."
14,불멸의 검,"패배를 먹고 강해졌다는 전설의 칼. 무뎌지지 않고, 부서지지 않으며, 주인이 쓰러져도 먼저 일어난다.
칼날에 새겨진 작은 문구: 나는 죽지 않는다."
15,만계황혼의 심연룡섬검,"만 개의 세계가 저무는 시간, 심연에서 기어오른 용의 비늘로 단 한 번 주조된 검.
조나단폴폴록 6세가 아버지께 물려받아, 이제 그 운명을 네 손에 넘긴다—휘두르면 황혼이 따라온다."
21,다이아,-
22,마연석,돌에서 희미하게 기운이 느껴진다. 이걸 무기에 가져가보자. 좋은일이 일어날수도 있다. 
23,루네스,"이 돌을 손에 쥐면, 봉인된 힘이 서서히 깨어나는 것이 느껴진다.
스킬 트리의 잠금을 해제하는 유일한 재료다."
31,좋은 물약,연금술사가 대량 생산한 보급형 회복약이다. 적당한 가격에 적당히 회복시켜준다. 체력 반칸 회복
32,참 좋은 물약,연금술사가 정성껏 만든 특제 회복약이다. 보급형보다 훨씬 더 상쾌하게 회복된다. 체력 두칸 회복
33,엄청 좋은 물약,연금술사의 비밀 조합법이 들어간 전설의 회복약이다. 마시면 좋은 일이 일어날지도 모른다. 체력 풀피
34,상점 위치 표식서,"“희미하게 남은 금빛 먹물이 상인의 길을 가리킨다.”
사용 시, 지도에 주변 상점의 위치를 표시한다."
35,회복처 표식서,"“푸른 마법문이 새겨져 있어, 생명의 기운이 스며든 장소를 알려준다.”
사용 시, 회복 장소의 위치를 표시한다."
36,루네스 표식서,"“고대의 룬이 적혀 있으며, 힘을 일깨울 수 있는 장소를 인도한다.”
사용 시, 루네스 획득 장소의 위치를 표시한다."
37,귀환서,"“이 종이를 태우면, 바람이 그대를 마지막 발걸음으로 되돌린다.”
사용 시, 마지막 체크 포인트로 귀환한다."
41,태양의 인장,"4개의 인장을 모두 모으면, 고대의 결계가 사라지고 봉인된 길이 열린다. 각 인장은 서로 다른 속성을 지니고 있으며, 모을수록 강력한 힘이 깨어난다. "
42,바다의 인장,"4개의 인장을 모두 모으면, 고대의 결계가 사라지고 봉인된 길이 열린다. 각 인장은 서로 다른 속성을 지니고 있으며, 모을수록 강력한 힘이 깨어난다. "
43,대지의 인장,"4개의 인장을 모두 모으면, 고대의 결계가 사라지고 봉인된 길이 열린다. 각 인장은 서로 다른 속성을 지니고 있으며, 모을수록 강력한 힘이 깨어난다. "
44,어둠의 인장,"4개의 인장을 모두 모으면, 고대의 결계가 사라지고 봉인된 길이 열린다. 각 인장은 서로 다른 속성을 지니고 있으며, 모을수록 강력한 힘이 깨어난다. "
51,도약의 부츠,고대 모험가의 부츠. 신으면 몸이 가벼워져 공중에서 한 번 더 도약할 수 있다.
52,정화의 고리,신성한 힘이 깃든 목걸이. 독과 산성의 피해를 완전히 무효화한다.
53,달빛 반지,달의 축복을 받은 은빛 반지. 주변을 은은하게 밝혀 어둠 속에서도 길을 잃지 않게 한다.
